,Date,Next_Day_Close,Next_Day_Log_Return,Close,High,Low,Open,Volume,Sigma,Log_Return,Volatility_20D,MA_20,BOLL_Lower,BOLL_Upper,Pos_in_BBand,EMA_12,EMA_26,DIF,DEA,MACD,Dollar_Return,Gain ,RSI_6,RSI_12,RSI_24,Lowest_Low_9D,Highest_High_9D,Raw Stochastic Value,KDJ_K,KDJ_D,KDJ_J,KD_Diff,Overbought,Oversold,Log_Return_5D,Log_Return_Intra-day,Log_Hi_Lo_Ratio,Efficiency_Daily,Efficiency_Ratio_10D,Efficiency_Ratio_20D,Efficiency_Ratio_50D
1746,8/12/2021,440.884,-0.00677,443.881,444.335,441.338,443.106,72238800,5.717,0.003,0.011,438.680,427.245,450.114,0.227,437.232,436.138,1.094,1.457,-0.728,1.172,1.172,71.785,50.522,53.033,424.406,444.335,97.723,66.871,46.636,107.340,20.235,1.367,0.000,0.04135,0.00175,0.007,0.259,0.02276253,0.0847701,0.239761761
1747,9/12/2021,445.034,0.00937,440.884,443.985,440.686,442.586,61272600,5.737,-0.007,0.011,438.809,427.334,450.284,0.090,437.794,436.490,1.304,1.427,-0.246,-2.997,0.000,76.285,49.020,49.650,424.406,444.335,82.685,72.142,55.138,106.150,17.004,1.308,0.000,0.01938,-0.00385,0.007,-0.516,0.051202477,0.035527846,0.258169853
1748,10/12/2021,441.092,-0.00890,445.034,445.186,441.035,443.607,77159800,5.902,0.009,0.011,439.138,427.334,450.943,0.250,438.908,437.123,1.785,1.498,0.573,4.150,4.150,74.132,51.932,51.333,424.406,445.186,99.272,81.186,63.821,115.915,17.365,1.796,0.000,0.03749,0.00321,0.009,0.344,0.216879094,0.047204051,0.254496728
1749,13/12/2021,438.057,-0.00690,441.092,444.864,440.808,444.514,87724700,5.889,-0.009,0.011,439.105,427.328,450.883,0.084,439.244,437.417,1.827,1.564,0.526,-3.942,0.000,73.626,47.918,48.638,424.406,445.186,80.300,80.891,69.511,103.650,11.380,1.183,0.000,0.01682,-0.00773,0.009,-0.844,0.037304994,0.011093233,0.267131385
1750,14/12/2021,444.902,0.01550,438.057,440.307,435.117,437.802,97264100,5.855,-0.007,0.011,438.913,427.203,450.623,-0.037,439.061,437.464,1.597,1.571,0.053,-3.035,0.000,58.901,53.560,47.724,424.406,445.186,65.696,75.826,71.616,84.246,4.210,0.212,0.000,-0.01056,0.00058,0.012,0.049,0.166027655,0.075051369,0.215006564
1751,15/12/2021,440.979,-0.00886,444.902,445.148,435.580,438.114,116899300,5.915,0.016,0.012,438.975,427.146,450.805,0.251,439.960,438.015,1.945,1.645,0.598,6.845,6.845,54.953,54.742,53.803,424.406,445.186,98.636,83.429,75.553,99.180,7.876,0.959,0.000,0.00230,0.01537,0.022,0.709,0.408871323,0.028948182,0.244220164
1752,16/12/2021,436.285,-0.01070,440.979,447.048,439.419,446.765,116568600,5.874,-0.009,0.012,438.895,427.147,450.644,0.089,440.117,438.235,1.882,1.693,0.378,-3.923,0.000,44.170,59.328,51.399,428.793,447.048,66.753,77.870,76.326,80.960,1.545,0.048,0.000,0.00021,-0.01304,0.017,-0.758,0.195004302,0.037468228,0.18960282
1753,17/12/2021,431.646,-0.01069,436.285,440.906,434.568,437.879,135511600,5.770,-0.011,0.012,438.506,426.966,450.045,-0.096,439.527,438.090,1.437,1.642,-0.409,-4.693,0.000,41.352,59.426,47.026,433.605,447.048,19.941,58.561,70.404,34.874,-11.843,0.000,0.000,-0.01985,-0.00365,0.014,-0.251,0.170180682,0.080777141,0.156737293
1754,20/12/2021,439.312,0.01760,431.646,432.045,428.003,431.172,107134800,5.849,-0.011,0.012,437.924,426.226,449.621,-0.268,438.315,437.613,0.702,1.454,-1.504,-4.639,0.000,25.278,49.270,44.680,428.003,447.048,19.129,45.417,62.075,12.100,-16.658,0.000,0.395,-0.02165,0.00110,0.009,0.117,0.047124935,0.115395421,0.143556946
1755,21/12/2021,443.704,0.00995,439.312,439.454,432.908,435.090,69806300,5.779,0.018,0.013,437.787,426.229,449.346,0.066,438.468,437.739,0.729,1.309,-1.159,7.666,7.666,47.110,59.325,47.878,428.003,447.048,59.379,50.071,58.073,34.065,-8.003,0.000,0.000,0.00286,0.00966,0.015,0.645,0.078884912,0.034097579,0.194763759
